"8,2.29"
"5628,2.32"
"11328,2.34"
"17068,2.29"
"22820,2.30"
"28556,2.33"
"34308,2.32"
"40060,2.28"
"45804,2.32"
"51556,2.32"
"57304,2.28"
"63044,2.32"
"68796,2.32"
"74544,2.32"
"80292,2.28"
"86044,2.32"
"91792,2.32"
"97544,2.28"
"103284,2.32"
"109088,2.33"
"114888,2.33"
"120684,2.27"
"126480,2.32"
"132280,2.33"
"138076,2.28"
"143872,2.31"
"149676,2.34"
"155468,2.31"
"161268,2.28"
"167064,2.33"
"172860,2.33"
"178656,2.28"
"184456,2.33"
"190252,2.32"
"196052,2.32"
"201848,2.28"
"207640,2.32"
"213440,2.32"
"219240,2.28"
"225032,2.33"
"230832,2.32"
"236632,2.31"
"242428,2.29"
"248232,2.33"
"254032,2.32"
"259828,2.28"
"265632,2.33"
"271432,2.32"
"277228,2.29"
"283032,2.31"
"288836,2.32"
"294628,2.33"
"300428,2.28"
"306224,2.33"
"312020,2.33"
"317828,2.28"
"323624,2.33"
"329420,2.33"
"335224,2.32"
"341024,2.28"
"346816,2.33"
"352620,2.33"
"358420,2.29"
"364208,2.34"
"370008,2.33"
"375804,2.33"
"381604,2.28"
"387408,2.33"
"393204,2.34"
"399004,2.29"
"404800,2.33"
"410596,2.33"
"416388,2.32"
"422184,2.29"
"427980,2.34"
"433772,2.33"
"439572,2.29"
"445364,2.33"
"451156,2.33"
"456964,2.31"
"462756,2.30"
"468556,2.33"
"474356,2.34"
"480148,2.29"
"485944,2.33"
"491748,2.35"
"497540,2.30"
"503336,2.31"
"509140,2.33"
"514940,2.34"
"520744,2.29"
"526544,2.34"
"532340,2.35"
"538136,2.29"
"543936,2.33"
"549732,2.34"
"555540,2.35"
"561336,2.29"
"567132,2.33"
"572932,2.34"
"578728,2.29"
"584520,2.33"
"590324,2.33"
"596124,2.33"
"601916,2.29"
"607720,2.33"
"613524,2.33"
"619324,2.28"
"625128,2.31"
"630932,2.32"
"636724,2.30"
"642532,2.28"
"648328,2.32"
"654124,2.31"
"659932,2.27"
"665728,2.31"
"671524,2.31"
"677332,2.29"
"683128,2.28"
"688924,2.32"
"694720,2.34"
"700520,2.27"
"706316,2.31"
"712124,2.32"
"717932,2.29"
"723724,2.31"
"729524,2.31"
"735332,2.31"
"741136,2.27"
"746936,2.31"
"752740,2.33"
"758540,2.27"
"764348,2.32"
"770148,2.31"
"775948,2.32"
"781756,2.27"
"787556,2.32"
"793348,2.32"
"799156,2.27"
"804964,2.32"
"810756,2.32"
"816564,2.32"
"822364,2.27"
"828156,2.32"
"833956,2.32"
"839752,2.27"
"845548,2.32"
"851344,2.32"
"857148,2.29"
"862940,2.28"
"868736,2.32"
"874540,2.32"
"880332,2.27"
"886136,2.32"
"891940,2.31"
"897736,2.31"
"903540,2.32"
"909340,2.31"
"915132,2.31"
"920940,2.27"
